CAZy_Family	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
GH3	13424.09344	13500.26171	13076.03946	14877.5257	15531.50985	16354.72237	7690.502385	8039.868639	8891.460422	9032.99868	8760.574853	9628.616315	5351.676403	4982.772051	5296.731251
GH-J	821.1453553	724.0686205	758.401177	858.816345	907.7183878	1081.560368	625.6779086	553.7589333	650.7312805	553.5938981	649.2207845	550.9425656	245.4808408	236.7642656	2994.883344
GH-E	1782.631914	1504.107965	1708.603902	2635.96869	2318.344327	2120.918579	1348.740452	1362.391015	1561.420318	968.8775283	1139.152745	698.4374802	1435.600617	1061.527745	959.4595993
GH38	788.191982	630.1157616	757.8137906	999.9350833	1082.791392	980.062085	1070.36192	772.3154609	580.4634527	712.5265625	794.3652504	468.3479167	368.9908415	544.4971441	321.6508142
GH4	796.4704921	615.6896194	758.1606731	1009.263076	846.2476606	623.6780798	1701.953619	1240.291733	872.9819503	818.8729048	654.0083488	889.3448495	762.9680248	548.424958	406.7323834
GH-F	5792.387297	5478.533032	6103.531365	7789.321722	8093.854597	8027.840251	2135.03251	2387.088322	3181.955791	3250.67179	3224.734043	2569.301631	1007.070467	1281.025908	1391.796484
GH44	134.9968776	107.5757955	165.9449482	244.1629277	213.0667121	118.034541	37.07490968	51.35400113	33.04137019	54.32865099	57.31884278	78.52801572	33.4905258	36.77720763	10.82100184
GH45	22.29964841	3.544980028	0	1.348614188	1.294495567	1.251362703	14.71261691	16.94080554	53.46921418	0	0	0	15.87926273	34.37447497	13.11358698
GH46	4.369229135	10.03716043	10.6555111	3.425676915	1.644103859	8.767468465	27.03345991	21.6397151	17.96986354	3.816228409	14.29792131	30.69113814	5.147673082	9.942579169	21.45099257
GH47	490.2527239	562.3975602	693.7227018	705.9282297	454.7028183	409.6624195	601.9228089	614.3203006	542.228755	645.3814894	628.0817134	823.7241622	374.5897894	340.6250918	483.4463765
GH-M	363.680855	436.6030642	357.324742	351.2538035	470.8277465	533.7188317	285.8504175	194.0782785	202.8323753	353.2241816	566.1897292	409.8586295	151.6959538	106.35373	158.9225658
GH54	32.50667073	44.20603278	35.39208308	42.60763064	33.99445348	50.73450386	7.398631132	0	0	3.057446152	8.577105537	9.687707839	0	0	0
GH55	412.2877283	491.5508456	463.0636553	784.7833767	641.6796973	585.3442776	198.3581499	245.3160492	247.0759962	277.3236487	380.644777	332.8133089	33.15987344	63.8320388	128.5960324
GH57	1376.921063	1275.856123	1336.671029	1719.792879	1564.708278	1358.390605	675.1648502	617.8723505	526.7730109	526.3043813	506.3256547	436.3995553	251.88751	202.7380728	417.7740559
GH6	156.33651	154.4673621	143.3047456	201.3012278	144.8340341	97.31555032	141.0356911	101.333414	125.3589929	42.11913734	110.5040365	26.89145182	100.644075	52.87570787	364.5038607
GH64	49.22704503	47.63224086	28.7479615	62.14812915	54.5952184	97.94064023	55.75623531	28.25964036	95.38125421	80.26659219	98.92507218	16.57955358	40.74487456	18.48148543	46.38438245
GH67	202.9965537	152.0277062	233.2721893	336.5939115	297.6826112	320.9800945	56.29548025	45.88139226	46.68043759	86.53770238	70.89868127	89.2457553	14.64495761	12.34249819	0
GH73	2062.099514	2019.366502	2028.204131	2141.300841	2226.716873	1881.901737	1110.539346	1182.873951	1278.463674	1712.882128	1489.421988	1499.189246	576.2378347	659.1000489	713.1796019
GH74	260.8586288	244.5058492	282.6661938	307.4379708	270.7720407	252.6771404	174.2366938	264.1299122	201.1381344	413.7611275	472.3189455	533.6893925	86.6716379	141.6686794	37.2807242
GH76	133.1522503	111.1733473	150.1833711	104.3605682	130.2903394	113.8549649	15.08231211	14.15738713	39.84169677	51.4555182	51.04164203	61.04122306	11.71095626	21.64044627	18.44288774
GH78	5028.930982	4217.802425	4709.964534	7310.113338	6980.992195	6260.306474	2384.944009	2570.63835	3046.281834	3439.734848	3702.219318	2748.981876	869.3883558	1253.099675	610.5322501
GH81	553.7061226	615.2445608	617.4354801	779.7039574	691.9425393	712.3065893	376.346151	511.4452174	826.4999521	877.1123864	782.4313366	1106.564732	340.0535208	426.3191303	324.1927757
GH84	197.7661253	195.6745746	211.1406068	125.3391234	184.3111807	217.4683737	40.57598122	16.3010893	12.04204391	20.05541465	14.25695659	39.9611654	10.4097389	0	22.9244928
GH87	222.2853789	132.0970742	123.4748999	284.7014101	198.115144	172.5935612	142.4439987	179.5006419	165.3120047	132.0104454	122.0233407	92.25051334	68.49785475	52.06713636	58.19433553
GH88	948.4181657	837.886857	892.2628579	1444.259677	1387.769166	1342.547988	288.7132094	356.6415673	422.9121435	495.3159206	547.3511721	316.3772707	295.626411	179.5799788	135.485425
GH89	146.7164139	131.6646015	126.183601	60.23925775	66.94178829	74.80749555	8.329796137	0	21.0962682	32.61161613	31.57159356	24.01451718	21.33756895	40.59061997	9.793691542
GH9	1463.715686	1250.189265	1264.805111	2031.085371	1941.209198	1711.597836	751.9765393	550.4007263	703.0319895	715.0857325	663.4115333	508.8755177	165.5475338	241.0500461	93.24388477
GH92	4588.211782	4139.0116	4848.368561	6604.486593	6456.320993	6061.846651	1744.447516	1795.436322	2058.20449	2884.963547	2613.914111	1854.612928	286.635401	688.0648717	206.4391313
GH-Q	5076.085185	5099.471701	5352.111489	6442.444818	5712.7615	5413.140137	2919.110253	2759.844954	1815.042881	2469.470912	2754.110918	2434.038027	2594.049775	2009.69194	1662.796317
GH95	2880.570813	2241.94645	2652.183091	3727.428015	3804.161525	3319.711658	1202.705485	1342.22759	1643.38224	2042.914875	2491.442153	1678.258794	232.4595681	516.219595	330.6363084
GH96	153.5046262	205.9723667	157.4953626	112.6037963	152.5048112	210.4283747	56.74857428	152.8876876	159.5591726	92.0258199	68.59314565	54.32122398	4.461316671	10.00250454	0
GH97	2286.785845	2158.857673	2108.774683	2695.043475	2774.586589	2784.649365	671.1020613	858.5468565	1213.20764	1290.001734	1164.811376	826.320707	247.3331989	228.0085669	91.16794501
GH99	144.2817424	87.22879845	101.7756943	252.530134	275.4541912	194.923842	105.7710687	77.97357467	88.88362232	178.1668215	198.5114007	108.203032	91.02323068	97.35845972	89.2099397
GT1	1335.274823	1320.4548	1227.966061	823.7836345	772.3246389	645.0732785	1904.747395	1802.032462	1534.635613	1250.664619	1345.464509	933.052356	4638.692579	4006.01696	3874.762605
GT10	45.83991617	85.19334147	40.16886665	80.41845715	78.06554027	85.63648085	13.37813089	8.051610925	31.78663832	79.61023652	72.4862021	7.628379146	0	4.694662091	28.0708075
GT11	123.8101524	73.03861964	80.68562351	105.8354516	148.8536073	119.5053886	126.5201447	105.3702254	167.2578045	418.8987518	327.1719031	202.1415066	293.2004183	155.1072867	644.0041098
GT14	75.74945248	117.7974885	92.86225477	46.50853067	50.824449	78.8599622	56.50948618	78.62620646	166.5881091	27.17038981	21.90805734	18.38820726	0	3.091606743	0
GT15	4.73765424	2.182684094	2.312069355	3.724743947	8.938183679	5.708597472	0	0	0	41.46529557	37.52519576	13.04902528	0	0	12.45037109
GT17	44.80406665	17.06792021	17.87911366	27.57547513	19.91133094	17.94323149	25.80910661	9.320450279	84.84913082	62.40842704	59.13105622	76.37503839	97.17331477	93.22263944	76.15827487
GT19	1811.136538	1978.369902	1944.324888	2010.235343	2018.7436	1806.901834	969.1895214	1145.141843	1130.391878	1268.919528	1445.452128	1649.987119	704.8326377	685.9963213	522.595631
GT2	20359.30472	21210.21444	20017.77542	21916.72334	23489.75543	23951.54789	16612.14922	16456.13123	16987.5442	13981.85106	13943.79603	13520.86255	17197.24284	13521.94642	13268.62526
